Index	Los PJs deben	objeto	personaje	complicación	Protagonista	Desea	enemigo	Enfrenta	Necesita	Al final	lugar	objeto	adj	adj2	Medieval - Taberna - Nombre	Medieval - Taberna - Adjetivo	Comida 1	Comida 2	Comida 3	bebida 1	bebida 2	Trampas - Elemento	Trampas - Acción	Trampas - Desencadenante	PNJ profesion	PNJ Origen	PNJ Carácter	PNJ Aspecto	PNJ Especial	Medieval - Personaje	Medieval - Acción	Medieval - Lugar	Medieval - Objeto	Medieval - Evento	Medieval - Criatura	Medieval - Organización	Dungeon - Objeto	Dungeon - Evento	Dungeon - tipo	símbolo - obj	escudo - color	escudo - campo	símbolo - color	Trama PNJ 1	Trama PNJ 2	deidad - ambitos	deidad - adorador	deidad - sacerdotes	deidad - ritos	deidad-arquitectura	poción - textura	poción - tipo	poción - efecto secundario	lugar - color	lugar - nom	lugar - ref	objeto	adj_norm	Nombres - FR - Male
100		una moneda										el báculo	todopoderoso	de pesadilla	El Olmo	Rojo			pan frito								despegado	tiene la tez aceitunada	esinmigrante	Famoso	Escalar	Habitación secreta	Hielo	Guerra	Horror enredadera		una cornisa	el lugar está en sombras	teatro	un gigante				un fiscal	es encarcelado junto a	crimen				semienterradas						de bronce	el rubí	todopoderoso|todopoderosa|todopoderosos|todopoderosas	En
101		una armadura										la reliquia	verde	de la traición	El Orbe	Ruidoso			panecillos								despilfarrador	tiene labios carnosos	está afectado por magia	Fanático	Escapar	Hondonada	Hierbas	Guerra civil	Huargo		una grieta	está medio derruido	camerino	un ogro				un fugitivo	se encuentra con	asesinato				con pozos						pálido	el silencio	verde|verde|verdes|verdes	Griyeott
102		un espada										el artefacto	blanco	del engaño	El Orco	Sabroso			tostadas								despistado	tiene labios finos	está aquejado de algún tipo de locura	Fiscal	Esclavizar	Hostal	Hilo	Hambruna	Ifriti		un abismo	está en malas condiciones	sala común	un gato				un gemelo	quiere volver loco a	secuestro				con acequias y canales						oscuro	el sueño	blanco|blanca|blancos|blancas	Eprekkydhi
103		una corona										el órgano	inmaculado	de la libertad	El Orco	Sagrado			salsa								despreciable	tiene la mirada esquiva	está buscando a alguien	Fugitivo	Escoltar	Iceberg	Hongo	Hechizo	Insecto		hongos	está bien vigilado	buhardilla	una campana				un genasí	se disfraza a menudo de	hermandad				con ventanales						del curtidor	el tahalí	inmaculado|inmaculada|inmaculados|inmaculadas	Tzsytchauq
104		un cetro										el arpa	bienhallado	de la liberación	El Orégano	Sediento			trufas								dialogante	tiene la mirada fría	está enamorado de alguien importante	Gato	Esconder	Iglesia	Hueso	Heladas	Kelpie		moho	está abandonado	escalinata	una iglesia				un general	quiere reemplazar a	caridad				con vidrieras						del cuchillero	el tapiz	bienhallado|bienhallada|bienhallados|bienhalladas	Shiiorn
105		un bastón										el laúd	vorpal	de los esclavos	El Órgano	Septentrional			mostaza								dicharachero	tiene la mirada furibunda	está escapando de alguien	Gemelos	Esperar	Infraoscuridad	Huevo	Herencia	Kóbold		plantas	nadie ha pasado por aquí en mucho tiempo	escalera de caracol	una gota				un gitano	quiere derrocar a	oro				con muchos colores						del aguador	el templo	vorpal|vorpal|vorpales|vorpales	Ayelddeuh
106		un collar										el atrio	siegavidas	de la pobreza	El Oso	Solitario			fresas								diplomático	tiene la mirada nerviosa	está fascinado por la magia	Genasí	Espiar	Isla	Impuesto	Hundimiento	Kraken		maleza	alguien quería que no se encontrara este lugar	refugio	una lágrima				un guardabosques	quiere destituir a	riquezas				con muchos adornos						del pastor	el tentáculo	siegavidas|siegavidas|siegavidass|siegavidass	Ephuch
107		la costa										el altar	segador	de la riqueza	El Palacio	Sombrío			frambuesas								discreto	tiene la mirada penetrante	está iniciando una rebelión	General	Establecer	Isla	Inscripción	Idea	Kuo-toa		vegetación	alguien esperaba que otros llegaran aquí	acceso	un rayo				un guardaespaldas	quiere desprestigiar a	tesoro				de forma austera						del labriego	el tintero	segador|segadora|segadores|segadoras	Chronuuw
108		un acantilado										el ara	buscador	del oro	El Paladín	Sureño			jengibre								discutidor	tiene la mirada pícara	está interesado en algún tipo de monstruo	Gitano	Estudiar	Isla	Joya	Inauguración	Lamia		enredaderas	alguien dejó pistas	salida	un relámpago				un guardia	quiere entrar en la casa de	búsqueda				sin adornos						del rey	el tirano	buscador|buscadora|buscadores|buscadoras	Ilbaolp
109		unas cavernas										la hoguera	celestial	de búsqueda	El Pantalón	Triste			olivas								distraído	tiene la nariz afilada	está maldito	Guardabosques	Excavar	Islote	Lámpara	Incendio	Licántropo		algo enterrado	aquí se cometió un crimen	centro de investigación	un ala				un guardián	está enamorado de la pareja de	exploración				sin símbolos						de la reina	el tomo	celestial|celestial|celestiales|celestiales	Ixuodhiov
110		un altar										la cima	celeste	de jade	El Pegaso	Tuerto			aceitunas								divertido	tiene la nariz aguileña	está recién salido de la cárcel	Guardaespaldas	Experimentar	Jardín	Lanza	Incesto	Liche		sangre	alguien ocultó pruebas aquí	sala de magia	un cetro				un guerrero	es el amante secreto de	hojas				sin representaciones						del príncipe	el trueno	celeste|celeste|celestes|celestes	Acheuthl
111		una cripta										la cumbre	subterráneo	de diamante	El Pergamino	Vacío			hojas de parra								dócil	tiene la nariz ancha	frecuentemente guiña el ojo	Guardia	Explorar	Jungla	Lápida	Incursión	Limo		restos de comida	hay algo enterrado	sala de oración	una varita				un heredero	es el amante de la pareja de	plantas				sin paredes						del monje	el túnel	subterráneo|subterránea|subterráneos|subterráneas	Ol
112		un círculo mágico										el pie	ilimitado	de rubí	El Perro	Valiente			dátiles								dogmático	tiene la nariz colorada	fue desheredado por su familia	Guardián	Expulsar	Laberinto	Lentes	Independencia	Lobo		cadáveres	hay un mecanismo	sala de meditación	un bastón				un hermano	ha escondido a	bestias				sólo con columnas						del montaraz	el vaso	ilimitado|ilimitada|ilimitados|ilimitadas	Cluulag
113		una pirámide										la pezuña		de obsidiana	El Pescado	Venenoso			cerezas								dormilón	tiene la nariz prominente	fue desterrado	Guerrero	Extirpar	Laboratorio	Libro	Infiltración	Mantícora		huesos	no hay forma de pasar	sala de recogimiento	un orbe				un héroe	ha dado asilo a	piratería				sólo con un altar						del druida	el veneno	meridional|meridional|meridionales|meridionales	Lzildiofdach
114		un templo										la lágrima		de oro	El Peto	Verde			miel								educado	tiene la nariz puntiaguda	fuma compulsivamente	Heredero	Extraer	Lago	Licor	Inicio	Manto		insectos muertos		basurero	un ancla				un herrero	busca protección de	pillaje				con un altar de piedra exótica						del mago	el viento	destructor|destructora|destructores|destructoras	Nphredhuz
115		una secta										el ánfora		de plata	El Pícaro	Viejo			caramelo								egoísta	tiene la nariz respingona	guarda un secreto familiar	Hermano	Fabricar	Laguna	Lodo	Inquisición	Medusa		insectos		aljibe	una perdiz				un hierofante	busca asilo de	navegación				con un altar adornado						del brujo	el yelmo	buscador|buscadora|buscadores|buscadoras	Qhuacerh
116		un artefacto												del cielo	El Pico	Volador			jarabe								elitista	tiene la piel de color extraño	guarda un terrible secreto	Héroe	Falsificar	Licorería	Luna	Intoxicación	Micónido		grava		lago	un gallo				una hija	se esconde en la casa de	mar				con un altar engalanado						del hechicero	la agilidad	creador|creadora|creadores|creadoras	Mnuorglyw
117		una nota												de las alturas	El Pimiento				endrinas								elocuente	tiene la piel oscura	habla con una jerga ininteligible	Herrero	Fingir	Localización arcana	Madera	Inundación	Minotauro		un rastrillo cerrado		río	una garza				un hijo	se siente observado por	olas				con un altar de sacrificios						de la bruja	la alfombra	encantador|encantadora|encantadores|encantadoras	Shazri
118		un espíritu													El Pincel				anís								empático	tiene las cejas pobladas	habla demasiado	Hierofante	Forjar	Localización elemental	Máquina	Invasión	Modrón		una compuerta		acantilado	una llave				un historiador	viaja junto a	acantilados				con una gran hoguera						de la saga	la armadura	hechizador|hechizadora|hechizadores|hechizadoras	Phoélusp
119		el cielo													El Plato				piñones								enérgico	tiene las patillas gruesas	habla demasiado despacio	Hija	Fortalecer	Lodazal	Marca	Invento	Mole terrosa		una esclusa		abismo	un sable				un infernal	escolta a	pozos				con un gran pozo						del alquimista	la bandeja	convocador|convocadora|convocadores|convocadoras	Yrlkul
120		las estrellas													El Plebeyo				naranja								envidioso	tiene los labios cortados	habla mal de sus conocidos	Hijo	Forzar	Manicomio	Marmita	Invierno	Momia		un túnel		precipicio	un estoque				un investigador	debe proteger a	cuevas				en torno a una sima						del capitán	la baraja	desterrador|desterradora|desterradores|desterradoras	Drijikh
121		la luna													El Poeta				aceite								equilibrado	tiene los labios gruesos	habla muy bajo	Historiador	Frustrar	Mansión	Máscara	Juicio	Monstruo corrosivo		una reliquia		sala del tesoro	un mandoble				un jefe	organiza una expedición junto a	lluvia				con un puente						del caballero	la biblioteca	asesino|asesina|asesinos|asesinas	Nethgehra
122		un cometa													El Potaje				vinagre								escrupuloso	tiene los ojos azules	habla muy rápido	Infernal	Fundir	Mar	Mensaje	Justa	Morfópodo		un objeto olvidado		cuarto de tesoros	un mangual				un jinete	se asocia con	tormentas				en las grandes ciudades						del paladín	la bolsa	portador|portadora|portadores|portadoras	Teethtûge
123		las nubes													El Príncipe				melocotones								especulativo	tiene los ojos claros	hizo una promesa que debe cumplir	Investigador	Ganar	Mar	Mercancía	Ley	Muerto viviente		restos de una criatura		cámara del tesoro	una mano				un juez	crea una compañía junto con	calma				en los pueblos						de los dioses	la botella	controlador|controladora|controladores|controladoras	Siphegly
124															El Puchero				grosellas								esquivo	tiene los ojos de color miel	huele a flores del bosque	Jefe	Hacer trampas	Marca	Mesa	Ley marcial	Murciélago		un libro sagrado		estercolero	una constelación				un juglar	quiere suplantar a	caballos				en las villas						del dios	la bruma	luchador|luchadora|luchadores|luchadoras	Jhaorlphûkh
125															El Puerro				pasas								estrecho de miras	tiene los ojos grandes	idolatra a su padre	Jinete	Huir	Marjal	Miembro	Linchamiento	Mutante		un anillo		agujero	una cadena				Juiblex	encuentra el cadáver de	espadas				en los campos						del armero	la búsqueda	hacedor|hacedora|hacedores|hacedoras	Driiochyth
126															El Puré				menta								estricto	tiene los ojos grises	le da igual todo	Juez	Huír	Mausoleo	Misiva	Llamada a las armas	Naga		pinturas al fresco		sala de vigilancia	un látigo				un ladrón	encuentra malherido a	forja				en los bosques						del marinero	la cámara	corruptor|corruptora|corruptores|corruptoras	Mued
127															El Queso				hierbabuena								estudioso	tiene los ojos hundidos	le encantan las apuestas	Juglar	Hundir	Mazmorras	Mithril	Lluvia	Necrófago		un cuadro		puesto de vigilancia	un tridente				un líder	quiere fortalecer sus relaciones con	acero				en el mar						de la sirena	la capa	esclavizador|esclavizadora|esclavizadores|esclavizadoras	Tseimûbhyf
128															El Rey				hinojo								exaltado	tiene los ojos inyectados	le falta un dedo	Juiblex	Husmear	Megalito	Moneda	Luna llena	Neogi		una caja fuerte		sala de control	una herradura				un lisiado	finge ser el amigo de	armas				en los acantilados						del kraken	la carta	liberador|liberadora|liberadores|liberadoras	Quanskys
129															El Montaraz				albaricoques								exigente	tiene los ojos marrones	le falta un objeto en su colección	Ladrón	Impacientarse	Mercado	Naipe	Magnicidio	Nigromante		vidrios		mercado	un cuervo				una madre	finge ser el emisario de	combate				bajo cascadas						del titán	la catedral	reanimador|reanimadora|reanimadores|reanimadoras	Uviiokh
130															El Caballero				sandía								expresivo	tiene los ojos negros	le gusta mostrar una parte de su cuerpo	Líder	Incendiar	Mina	Nicho	Maldición	No-muerto		un orbe		atrio	un cáliz				un maestro	finge hablar en nombre de	gloria				en las alturas						del gigante	la caverna	desintegrador|desintegradora|desintegradores|desintegradoras	Dlyzaéth
131															El Riachuelo				calabaza								extrovertido	tiene los ojos oscuros	le gusta viajar	Lisiado	Infiltrar	Minarete	Obra de arte	Marea	Ogro		un cuerno		piscina	una copa				un maestro gremial	finge ser representante de	lucha				en los hielos						del gólem	la ceguera	restablecedor|restablecedora|restablecedores|restablecedoras	Uikheymro
132															El Río												falaz	tiene los ojos pequeños	le gustan los acertijos	Madre	Influir	Monasterio	Ojo	Marea	Oni		una imagen		sala de cría	una cueva				un mago	finge ser el enviado de	pelea				en pantanos						de arcilla	la cima	sanador|sanadora|sanadores|sanadoras	Vhuolstrûkh
133															El Sauce												FALSO	tiene los ojos rasgados	lucha por un ideal	Maestro	Informar	Montaña	Olla	Maremoto	Orco		una figurita		guardería	una flauta				un malabarista	quiere huir de	lid										de roca	la condenación	curador|curadora|curadores|curadoras	Zzinsiirm
134															El Soldado												fanático	tiene los ojos saltones	masca tabaco	Maestro gremial	Inmovilizar	Montes	Olvidado	Matrimonio	Osgo		una tiara		caballeriza	una lira				un marinero	quiere hundir a	justas										de piedra	la convocación	envenenador|envenenadora|envenenadores|envenenadoras	Chsemzethus
135															El Sombrero												fatalista	tiene los ojos verdes	mira de reojo	Mago	Interceptar	Morgue	Orbe	Mensaje	Oso-lechuza		gemas		aviario	un laúd				un marmitón	quiere vencer a	artes marciales										de arena	la copa	enajenador|enajenadora|enajenadores|enajenadoras	Immlyph
136															El Sótano												fiel	tiene los pies grandes	murmura contínuamente	Malabarista	Interrumpir	Muelles	Oro	Mercado	Otyugh		gemas falsas		jardines	un arpa				un marqués	quiere ganar a	artes										de polvo	la coraza	enloquecedor|enloquecedora|enloquecedores|enloquecedoras	Cvorjammirt
137															El Tahalí												fiero	tiene los pómulos prominentes	necesita ayuda para una misión	Marinero	Introducir	Muralla	Pan	Migración	Parásito		arañas		laberinto	un hipogrifo				una marquesa	quiere anticiparse a	artesanía										blanco	la corona	regenerador|regeneradora|regeneradores|regeneradoras	Nphrocmal
138															El Tambor												fiero	tiene los rasgos afilados	no es quien dice ser	Marmitón	Investigar	Museo	Pendientes	Milagro	Pesadilla		un cadalso		sala de reparación	una pluma				un matón	quiere influir en	pintura										rojo	la cueva	reductor|reductora|reductores|reductoras	Splerhuch
139															El Templo												fisgón	tiene mejillas sonrosadas	no mueve un dedo si no hay oro por medio	Marqués	Invocar	Naufragio	Pergamino	Misión	Plaga		una pista de baile		sala comunal	una catapulta				un mayordomo	es coaccionado por	escultura										verde	la cumbre	comandador|comandadora|comandadores|comandadoras	Shrykhullph
140															El Tenedor												frágil	tiene un brazo de menos	no puede quedarse quieto	Marquesa	Irritar	Nave mágica	Piel	Monzón	Plaga inteligente		una criatura petrificada		archivo	un molino				un médico	informa a	música										azul	la curación	líder|líder|líderes|líderes	Whurtrenn
141															El Tigre												galante	tiene un color de ojos inusual	no se fía de nadie	Matón	Lamentar	Navío	Pilar	Muerte	Planodeudo		una esfera		librería	una semilla				Mefistófeles	es informado por	comida										bermellón	la daga	atractor|atractora|atractores|atractoras	Nriulhaed
142															El Tintero												generoso	tiene un color de pelo inusual	no se ríe con nada	Mayordomo	Lanzar	Necrópolis	Pluma	Nacimiento	Planta		un agujero negro		sala de escribanía	un candado				un mensajero	es informador de	cocina										celeste	la diadema	repulsor|repulsora|repulsores|repulsoras	Izurn
143															El Tomate												gracioso	tiene un color de piel inusual	no tiene sentido del humor	Médico	Leer	Nido	Pócima	Naufragio	Quimera		una puerta		alfarería	un rastrillo				un mercader	quiere interceptar un cargamento de	alimento										de la alegría	la enfermedad	aliado|aliada|aliados|aliadas	Vymmiemp
144															El Tonel												gris	tiene un corte de pelo inusual	nunca se mete en problemas	Mefistófeles	Limpiar	Oasis	Poción	Negociación	Rakshasa		un arco		galería de tiro	una mano abierta				un merodeador	quiere interceptar un mensaje de	gula										del martillo	la esclavitud	enemigo|enemiga|enemigos|enemigas	Vyrzhoy
145															El Toro												grosero	tiene un ojo vacío	nunca se quita sus guantes	Mensajero	Llamar	Océano	Poesía	Niebla	Rata		una arcada		sala sagrada	un anillo				un místico	quiere introducir un espía en casa de	pereza										del yunque	la esfera	descubridor|descubridora|descubridores|descubridoras	Puklulshy
146															El Torrente												guarro	tiene un parche en el ojo	odia a casi todos	Mercader	Llenar	Olvidado	Portal	Nieve	Remorhaz		una intersección		sala sacrílega	una gema				un monje	quiere invocar a	belleza										de la forja	la espada	ocultador|ocultadora|ocultadores|ocultadoras	Loeqimm
147															El Torreón												hábil	tiene un porte noble	odia a un animal	Merodeador	Llevar	Oscuridad	Probeta	Nombramiento	Roc		algo del futuro		sala de adoración	una joya				un montaraz	está harto de	pureza										de los fuegos	la eternidad	absorbedor|absorbedora|absorbedores|absorbedoras	Eulwoqiol
148															El Trasgo												habilidoso	tiene un porte orgulloso	padece insomnio	Místico	Luchar	Otro plano	Puerta	Nueva ley	Sabandija		algo del pasado		muelle	un ojo cerrado				un náufrago	está irritando a	fealdad										de la llama	la flauta	succionador|succionadora|succionadores|succionadoras	Xûrhubhemm
149															El Tridente												harapiento	tiene una dentadura perfecta	parpadea nerviosamente	Monje	Maldecir	Pantano	Rastro	Ofrenda	Sacerdote maligno		algo de otro mundo		embarcadero	un ojo reptiliano				un navegante	está molestando a	corrupción										de la hoguera	la flecha	extractor|extractora|extractores|extractoras	Lheikintlyp
150															El Trigo												heroico	tiene una narizota	pertenece a algún gremio	Montaraz	Medir	Páramo	Recompensa	Ola de crímenes	Saga		una antigüedad		centro de mercancías	un ojo felino				un nieto	está acosando a	transformación										de las pinzas	la fortaleza	consumidor|consumidora|consumidores|consumidoras	Dhuuntlavl
151															El Troll												hipocondríaco	tiene una pierna de menos	pertenece a alguna facción	Náufrago	Meditar	Pasadizo	Regalo	Oscuridad	Sajuaguín		un amuleto		cuarto de celadores	un oso				un nigromante	se siente acosado por	muerte viviente										de la espada	la fortuna	enervante|enervante|enervantes|enervantes	Stheglyphirt
152															El Tronco												holgazán	tiene una sonrisa falsa	piensa que cualquier tiempo pasado fue mejor	Navegante	Merodear	Patio de armas	Reliquia	Otoño	Salamandra		un ritual		sala de guardia	un huargo				un oráculo	se siente perseguido por	guerra										del hacha	la fuente	abrasador|abrasadora|abrasadores|abrasadoras	Ibadrûhn
153															El Unicornio												honesto	tiene una sonrisa socarrona	posee un artefacto extraño	Nieto	Moldear	Pedregal	Roca	Pánico	Sátiro		incienso		sala de artesanía	un orco				Orcus	persigue a	matanza										del mangual	la fuerza	helador|heladora|heladores|heladoras	Aukhorgh
154															El Vaso												honrado	usa muletas	posee una filosofía vital exótica	Nigromante	Morar	Pirámide	Runa	Parálisis	Señor de los muertos		aceite		cuarto de costura	un troll				un orfebre	necesita llamar a	lanzas										de la lanza	la garra	tronante|tronante|tronantes|tronantes	Kheornyf
155															El Vestido												hosco	va bien afeitado	pronuncia mal	Oráculo	Morir	Playa	Saco	Parricidio	Serpiente		ácido		sastrería	una pala				un padre	tiene que llevar a	dagas										del sol	la gema	de latón|de latón|de latón|de latón	Bhûspol
156															El Vino												huidizo	va enjoyado	proviene de una familia rica venida a menos	Orcus	Mudarse	Plaza	Sarcófago	Penitencia	Shadar-Kai		una maceta		galería de adiestramiento	una carreta				un paje	maldice a	flechas										de la luna	la gota	de jade|de jade|de jade|de jade	Bhizothgûmp
157															El Violín												humilde	va siempre guiñado	quiere a su caballo más que al oro	Orfebre	Nacer	Portal	Seda	Persecución	Slaad		un jardín		sala de curtido	un caballo				un paladín	merodea cerca de	frío										de las estrellas	la guerra	de diamante|de diamante|de diamante|de diamante	Ychionayv
158															El Zapato												huraño	viste a la moda	repite una coletilla sin cesar	Padre	Nadar	Posada	Sello	Pesadilla	Tarasca		unos hongos		bodega de secado	un jinete				un peregrino	vive cerca de	calor										del tiempo	la hoguera	de rubí|de rubí|de rubí|de rubí	Rhûttiogn
159															El Zombi												idealista	viste anticuado	sabe dónde hay enterrado un tesoro	Paje	Navegar	Pozo	Señal	Peste	Tíflin		unas setas		sala de envasado	un elfo				un perro	vive junto a	fuego										de la eternidad	la inteligencia	de obsidiana|de obsidiana|de obsidiana|de obsidiana	Libiiaz
160															La Alcoba												imaginativo		se cree un tipo duro	Paladín	Negociar	Pradera	Símbolo	Petrificación	Titán		unos hierbajos		despacho	un enano				un pescador	nació bajo el mismo signo que	rayo										de las alturas	la jarra	de oro|de ora|de ora|de ora	Esyrhthyhh
161															La Almohada												impío		se expresa con pedantería	Peregrino	Obligar	Prisión	Sombrero	Pillaje	Trasgo		mucho polvo		cuarto de contabilidad	un vaso				un pícaro	nació el mismo día que	relámpago										perdida	la justicia	de plata|de plata|de plata|de plata	Yxmaeuir
162															La Alubia												imprudente		se mesa las barbas	Perro	Ocultar	Profundidades	Suministro	Pista	Troglodita		telarañas		sala de mapas	un grial				un pirata	rescata a	trueno										escondida	la lágrima	de carisma|de carisma|de carisma|de carisma	Klydoisûd
163															La Antorcha												impulsivo		se muerde las uñas	Pescador	Ofrecer	Prostíbulo	Tahalí	Plaga	Troll		un conducto		sala de proyectos	un colmillo				una pitonisa	salva a	luz										de la llave	la lámpara	del norte|del norte|del norte|del norte	Jhiorsk
164															La Araña												incansable		se pega mucho al hablar	Pícaro	Otorgar	Pueblo fantasma	Tapiz	Posesión	Unicornio		unas tuberías		despacho de ingeniería	una uña				un plebeyo	es rescatado por	día										de la puerta	la levedad	de oriente|de oriente|de oriente|de oriente	Thoyntius
165															La Avena												inculto		se pelea con todo el mundo	Pirata	Pagar	Puente	Tatuaje	Previsión	Vampiro		unos huesos		sala de mando	un monje				un policía	es salvado por	noche										de las piedras	la liberación	de poniente|de poniente|de poniente|de poniente	Shidhyshtyqop
166															La Ballesta												indeciso		se pone a hablar con cualquiera	Pitonisa	Pedir	Puerta secreta	Taza	Primavera	Wraith		un esqueleto		observatorio	un arquero				un posadero	cura a	lujuria										empedrado	la libertad	del sur|del sur|del sur|del sur	Raxookhohh
167															La Baraja												independiente		se rasca contínuamente	Plebeyo	Perder	Puerto	Tela	Profecía	Yuan-ti		unas ropas viejas		sala de convocación	unas flechas				un prestidigitador	es curado por	pasión										de humo	la locura	de occidente|de occidente|de occidente|de occidente	Szchomurr
168															La Bisagra												indiferente		se relame	Policía	Perseguir	Puesto	Telar	Prohibición	Yugoloth		un códice		sala de conjuración	una punta de lanza				un procurador	acoge	sacrificio										de seda	la luz	de oropel|de oropel|de oropel|de oropel	Fzuajun
169															La Bota												indiscreto		se repeina los cabellos	Popular	Planear	Refugio	Telaraña	Publicación	Zombi		una librería		sala de espejos	una alabarda				un profeta	es acogido por	sangre										de nieve	la magia	escondido|escondida|escondidos|escondidas	Jeugglerhekh
170															La Brida												individualista		se ríe por cualquier cosa	Posadero	Polimorfar	Río	Tentáculo	Quiebra			unos libros		sala de ilusión	un cinturón				una prostituta	debe dinero a	conversión										de hojalata	la maldad	oculto|oculta|ocultos|ocultas	Hliinguezs
171															La Burra												indomable		sesea	Prestidigitador	Presagiar	Ruinas	Tiara	Rapiña			plumas		sala de abjuración	una bota				un protector	tiene una deuda con	intolerancia										de oropel	la mano		Sullshyx
172															La Cabaña												inexpresivo		siempre bromea acerca de todo	Procurador	Profetizar	Ruta	Tinaja	Rebelión			un tonel		sala de encantamientos	un camino				un ratero	tiene que pagar a	peregrinación										de latón	la montaña		Hraeuibl
173															La Cabra												influenciable		siempre busca bronca	Profeta	Proteger	Sala acorazada	Tótem	Recaudación			un saco		cuarto de protección	una hoja de roble				un renegado	tiene que cobrar de	silencio										de fuego	la muerte		Kuaphuf
174															La Cacerola												ingenioso		siempre contesta con evasivas	Prominente	Quebrar	Sala de baile	Trampa	Regalo			unas hierbas		depósito de cadáveres	una hoja de olmo				un representante	ha perdido a	vista										de frío	la muerte viviente		Mhejirthlut
175															La Calavera												ingenuo		siempre cuenta anécdotas	Prostituta	Quemar	Sala de fiestas	Trampilla	Reunión			sacas de cereal		sala de autopisas	una hoja de fresno				un rey	planea algo contra	oscuridad										de ácido	la niebla		Yrraigyk
176															La Cama												inocente		siempre cuenta chistes	Protector	Raptar	Sala de torturas	Tratado	Revuelta			una cortina		sala de nigromancia	unas semillas				un rival	profetiza algo sobre	resplandor										del trueno	la noche		Grumfyth
177															La Cama												inquisidor		siempre cuenta sus batallitas	Ratero	Rasgar	Salón	Tumba	Riada			una cómoda		bodega de destilación	unos granos				un sabio	quiere secuestrar a	mente										del relámpago	la orden		Glynsrûch
178															La Camisa												inquisitivo		siempre está afilando su navaja	Renegado	Rastrear	Semiplano	Túnel	Ritual			un pedestal		ropero	una hoz				un sacerdote	es secuestrado por	cuerpo										del rayo	la oreja		Orlgikoav
179															La Cañada												insensato		siempre está con que el primo de un amigo se lo dijo	Representante	Reclutar	Sendero	Túnica	Ruina			columnas		laboratorio	un arado				un salvaje	quiere reastrear a	atletismo										del avatar	la oscuridad		Phrildlar
180															La Capa												insistente		siempre está con que él sólo mató al dragón	Rey	Recolectar	Sima	Ungüento	Rumor			un balcón		sala de armas	un burro				un sanador	es rastreado por	perfección										el mensajero	la partida		Lupof
181															La Capucha												insulso		siempre está fanfarroneando	Rival	Recuperar	Sótano	Valla	Sacrificio			balcones		cuarto de calderas	un cerdo				un secretario	está huyendo de	imperfección										del muerto	la pata		Rhinsprud
182															La Carne												intimidante		siempre está riendo	Sabio	Redimir	Submundo	Vara	Saqueo			un murete		carbonera	un buey				un secuestrador	quiere capturar a	reparación										del moribundo	la perla		Cidhul
183															La Casa												intolerante		siempre está sacando brillo a su símbolo sagrado	Sacerdote	Regalar	Subterráneos	Vara	Secreto revelado			un escudo		almacén de leña	una res				un semidiós	quiere averiguar la verdad sobre	construcción										del héroe	la persuasión		Tzyrncyps
184															La Catacumba												intransigente		siempre golpea con el dedo	Salvaje	Relampaguear	Sumergible	Varita	Secuestro			un tapiz		serrería	una vaca				un semielfo	quiere recuperar algo de	destrucción										del bardo	la pesadilla		Thudluirh
185															La Catedral												intrigante		siempre invita a una ronda	Sanador	Rescatar	Sumergido	Vegetal	Señal			una alfombra		almacén de víveres	una oveja				un señor de la guerra	quiere redimir a	licor										del juglar	la pezuña		Eaerwytch
186															La Caverna												intrigante		siempre juega con un puñal	Secretario	Resucitar	Taberna	Vela	Sequía			un mecanismo		silo	una cabra				un siervo	quiere atraer a	alcohol										del bufón	la piedra		Schemfi
187															La Cebada												introvertido		siempre juega con una moneda	Secuestrador	Revivir	Taller	Veneno	Siembra			un sistema de poleas		búnker	un pico nevado				una sirvienta	tienta a	magia										del duque	la pirámide 		Bhyesblûg
188															La Cebolla												iracundo		siempre lo sabe todo	Semidiós	Rezar	Tanque	Ventana	Silencio			un pozo		almacén de magia	una cascada				un sirviente	atrae a su fe a	hechicería										de la duquesa	la pluma		Vruchru
189															La Cerradura												irascible		siempre olvida los nombres	Semielfo	Robar	Teatro	Verja	Sitio			un portal		altar	un ocaso				un socio	quiere hechizar a	brujería										del conde	la pobreza		Xerskoéhh
190															La Cerveza												irónico		siempre se teme lo peor	Señor de la guerra	Romper	Tejado	Vial	Suceso			un artefacto mágico		hilandería	una luna creciente				un soldado	quiere engañar a	adivinación										de la condesa	la polimorfía		Alkythcûndh
191															La Chimenea												irrespetuoso		siempre tamborilea con los dedos	Siervo	Sacrificar	Teletransportador	Vidrio	Tarea			un glifo custodio		cuarto de mantenimiento	una luna menguante				un sultán	se ve engañado por	locura										del barón	la puerta		Bizoéw
192															La Choza												irreverente		siempre vocifera	Sirvienta	Saltar	Templo	Vino	Teatro			una runa de poder		sala de invocación	un duende				un sumo sacerdote	quiere revivir a	masoquismo										de la baronesa	la pureza		Bhahliorr
193															La Cítara												irritable		silba contínuamente	Sirviente	Salvar	Tienda	Víveres	Terremoto			un círculo mágico		sala de sacrificios	un hada				un superviviente	quiere resucitar a	sadismo										del señor	la razón		Yzincyrd
194															La Cocatriz												jovial		sisea	Socio	Sanar	Torre	Yelmo	Timo			espejos		patio de armas	un ent				un tabernero	quiere robar a	diablos										de la señora	la reanimación		Nchesmuagg
195															La Colina												juicioso		su fe se tambalea	Soldado	Saquear	Tumba		Toque de queda			botellas		tocador	una esfera				un terrateniente	quiere sacrificar a	demonios										de la dama	la recuperación		Zhuerchouth
